Unnamed: 0,Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style,instruction
1,"yellow book,blue book,orange book,white book,red book,black book",5,red book is more expensive than white book,yellow book is exactly 3 ranks cheaper than white book,white book is cheaper than red book,There are 4 books more expensive than blue book,black book is more expensive than red book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'blank', 'blank', 'horizontal lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
2,"bird,horse,dog,cat,rabbit,goat",5,horse's cage is exactly 3 positions ahead of rabbit's,There are 0 animals ahead of bird,dog's cage is exactly 3 positions ahead of goat's,dog is ahead of cat,bird's cage is exactly 2 positions ahead of dog's,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
3,"white book,yellow book,black book,orange book,red book,blue book",5,white book is at position 1,yellow book is exactly 4 ranks cheaper than blue book,yellow book is cheaper than blue book,orange book is exactly 2 ranks cheaper than blue book,black book is cheaper than at least 3 books,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
4,"Tom,Brown,David,Bob,May,Mia",5,Brown is shorter than David,May is taller than Bob,David is somewhere between Bob and Brown,May is somewhere between Brown and Mia,There are 0 people shorter than Tom,"short, tall","['blank', 'blank', 'blank', 'horizontal lines', 'dotted circles', 'blank']",Determine the height order of the people from shortest to tallest using the given statements.
5,"F,D,A,E,C,B",5,C is behind F,C is somewhere between B and E,E is ahead of C,D is somewhere between A and F,There are 2 people in front of A,"front, end","['blank', 'blank', 'blank', 'dotted circles', 'horizontal lines', 'blank']",Determine the front-to-back order of the people using the given statements.
6,"blue book,yellow book,black book,white book,red book,orange book",5,yellow book is cheaper than black book,There are 3 books cheaper than white book,blue book is exactly 2 ranks cheaper than black book,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than orange book,"cheap, expensive","['blank', 'dotted circles', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
7,"blue book,orange book,white book,red book,black book,yellow book",5,red book is cheaper than yellow book,white book is located exactly midway between blue book and black book,white book is cheaper than red book,white book is exactly 2 ranks cheaper than black book,blue book is cheaper than black book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
8,"A,C,F,D,B,E",5,F is ahead of D,D is ahead of B,B is somewhere between C and E,There is 1 person in front of C,F is behind C,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back order of the people using the given statements.
9,"cat,horse,bird,dog,goat,rabbit",5,horse is behind cat,horse's cage is exactly 4 positions ahead of rabbit's,There are 4 animals behind horse,dog is not next to rabbit,bird is ahead of dog,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
10,"red book,yellow book,white book,orange book,blue book,black book",5,blue book is located exactly midway between orange book and black book,white book is cheaper than orange book,yellow book is exactly 2 ranks cheaper than orange book,red book is cheaper than white book,yellow book is exactly 4 ranks cheaper than black book,"cheap, expensive","['blank', 'blank', 'dotted circles', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
11,"horse,dog,bird,goat,cat,rabbit",5,goat's cage is exactly 2 positions ahead of rabbit's,bird is behind dog,cat is behind bird,horse's cage is exactly 4 positions ahead of cat's,There is 1 animal ahead of dog,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back cage order of the animals using the given statements.
12,"Paul,Jennifer,Jacob,Thomas,Linda,Eric",5,Thomas is older than Jacob,Linda is not the eldest,There are 2 people older than Thomas,Jennifer is younger than Jacob,Jennifer is older than Paul,"young, old","['blank', 'blank', 'dotted circles', 'horizontal lines', 'blank', 'blank']",Determine the age order of the people from youngest to oldest using the given statements.
13,"Bob,David,Tom,Brown,May,Mia",5,May is at position 5,David is taller than Bob,Brown is somewhere between Tom and May,May is taller than Brown,Tom is taller than David,"short, tall","['dotted circles', 'blank', 'horizontal lines', 'blank', 'blank', 'blank']",Determine the height order of the people from shortest to tallest using the given statements.
14,"yellow book,white book,blue book,orange book,black book,red book",5,blue book is not the cheapest,white book is cheaper than at least 4 books,blue book is exactly 3 ranks cheaper than red book,orange book is cheaper than black book,yellow book is exactly 3 ranks cheaper than orange book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
15,"orange book,yellow book,black book,blue book,red book,white book",5,orange book is exactly 3 ranks cheaper than blue book,blue book is cheaper than red book,There are 2 books cheaper than black book,red book is not the most expensive,red book is more expensive than yellow book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
16,"C,E,D,F,B,A",5,F is ahead of B,There are 2 people in front of D,A is behind B,C is ahead of E,D is somewhere between E and A,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the front-to-back order of the people using the given statements.
17,"Thomas,Paul,Eric,Jacob,Jennifer,Linda",5,Eric is younger than Jacob,Jacob is younger than Jennifer,There are 4 people older than Paul,Jennifer is younger than Linda,Paul is younger than Eric,"young, old","['blank', 'dotted circles', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the age order of the people from youngest to oldest using the given statements.
