Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style
"C,E,D,F,B,A",5,F is ahead of B,There are 2 people in front of D,A is behind B,C is ahead of E,D is between E and A,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']"
"D,E,C,B,F,A",5,A is the last,E is ahead of B,F is behind B,B is not next to E,D is ahead of E,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"A,B,D,C,E,F",5,There are 3 people behind D,F is behind E,C is ahead of E,B is between E and A,C is between F and B,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"D,B,C,E,A,F",5,There are 4 people behind B,A is between F and B,B is not next to E,D is ahead of C,E is between A and B,"front, end","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']"
"A,D,B,F,E,C",5,F is ahead of E,D is behind A,C is behind E,There are 4 people behind D,B is ahead of F,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']"
"D,B,A,C,E,F",5,D is not next to A,A is ahead of C,There are 1 people behind E,A is between D and E,C is ahead of F,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes', 'vertical lines']"
"F,C,B,E,D,A",5,There are 2 people in front of B,E is ahead of D,C is ahead of E,D is between C and A,C is behind F,"front, end","['dotted circles', 'diagonal stripes', 'vertical lines', 'blank', 'horizontal stripes', 'horizontal lines']"
"F,A,E,B,D,C",5,B is ahead of C,C is not next to B,There are 3 people behind E,F is ahead of B,A is between E and F,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']"
"A,C,F,D,B,E",5,F is ahead of D,D is ahead of B,B is between C and E,There are 1 people in front of C,F is behind C,"front, end","['dotted circles', 'horizontal lines', 'vertical lines', 'blank', 'horizontal stripes', 'diagonal stripes']"
"E,D,C,B,F,A",5,E is not next to C,E is ahead of C,C is ahead of F,F is ahead of A,There are 2 people behind B,"front, end","['vertical lines', 'horizontal lines', 'dotted circles', 'blank', 'horizontal stripes', 'diagonal stripes']"
"C,A,F,D,B,E",5,A is behind C,E is behind D,A is at position 2,D is behind F,E is not next to D,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']"
"E,F,C,A,B,D",5,C is at position 3,E is ahead of F,A is ahead of B,B is not the last,F is ahead of A,"front, end","['diagonal stripes', 'horizontal lines', 'dotted circles', 'blank', 'horizontal stripes', 'vertical lines']"
"B,A,D,C,F,E",5,F is ahead of E,B is at position 1,D is behind A,F is not next to D,F is behind D,"front, end","['horizontal lines', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']"
"C,A,B,E,F,D",5,D is behind F,C is ahead of F,F is behind E,A is between B and C,There are 3 people behind B,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes', 'vertical lines']"
"D,E,C,B,A,F",5,B is between C and A,There are 3 people behind C,A is ahead of F,D is ahead of E,A is behind B,"front, end","['horizontal stripes', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal lines', 'vertical lines']"
