Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,front_end,style
"A,C,D,B,E",4,A is ahead of D,D is ahead of E,There are 3 people in front of B,A is not next to D,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"Thomas,Paul,Jennifer,Jacob,Linda",4,Paul is younger than Jennifer,There are 1 people elder than Jacob,Paul is between Jacob and Thomas,Linda is elder than Jacob,"young, old","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"May,Mia,Brown,Bob,David",4,Bob is between David and Brown,Mia is between May and Brown,Bob is shorter than David,May is the shortest,"short, tall","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"black book,white book,orange book,yellow book,red book",4,white book is ahead of yellow book,black book's cage is exactly 4 spots ahead of red book's,yellow book is ahead of red book,There are 2 animals behind orange book,"cheap, expensive","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"Bob,Brown,Mia,David,May",4,Mia is between David and Bob,David is shorter than May,There are 3 people taller than Brown,David is not the shortest,"short, tall","['dotted circles', 'horizontal lines', 'blank', 'horizontal stripes', 'diagonal stripes']"
"A,C,D,E,B",4,E is between D and B,C is behind A,There are 1 people in front of C,D is between B and C,"front, end","['horizontal lines', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes']"
"C,D,E,A,B",4,There are 1 people in front of D,E is between C and A,E is ahead of A,A is ahead of B,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"goat,horse,cat,bird,dog",4,dog is not next to cat,goat's cage is exactly 2 spots ahead of cat's,horse's cage is exactly 3 spots ahead of dog's,cat is ahead of bird,"front, end","['horizontal stripes', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal lines']"
"orange book,black book,red book,yellow book,white book",4,red book is behind orange book,black book's cage is exactly 2 spots ahead of yellow book's,There are 3 animals behind black book,white book is behind red book,"cheap, expensive","['diagonal stripes', 'dotted circles', 'horizontal stripes', 'blank', 'horizontal lines']"
"Bob,David,Brown,Mia,May",4,May is taller than Mia,Brown is at position 3,Brown is shorter than Mia,David is taller than Bob,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'diagonal stripes', 'blank']"
"Brown,Bob,David,May,Mia",4,May is between Mia and Bob,There are 1 people shorter than Bob,May is taller than David,Brown is shorter than Bob,"short, tall","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"Paul,Jennifer,Jacob,Thomas,Linda",4,There are 0 people elder than Linda,Jennifer is between Linda and Paul,Jacob is younger than Thomas,Jacob is elder than Jennifer,"young, old","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"goat,bird,dog,cat,horse",4,bird's cage is exactly 3 spots ahead of horse's,dog's cage is exactly 2 spots ahead of horse's,bird is behind goat,bird is not in the first cage,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines']"
"May,Bob,Mia,David,Brown",4,Bob is at position 2,David is between Brown and May,May is shorter than David,Mia is between May and David,"short, tall","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"Bob,May,Mia,Brown,David",4,There are 1 people shorter than May,Brown is shorter than David,Mia is shorter than Brown,Mia is between Brown and May,"short, tall","['diagonal stripes', 'dotted circles', 'horizontal stripes', 'blank', 'horizontal lines']"
"Mia,Brown,David,May,Bob",4,David is between May and Brown,There are 3 people shorter than May,Brown is not the tallest,Brown is taller than Mia,"short, tall","['horizontal lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes']"
"goat,horse,bird,dog,cat",4,There are 3 animals behind horse,dog is behind horse,horse is not next to cat,goat's cage is exactly 3 spots ahead of dog's,"front, end","['horizontal lines', 'dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank']"
"goat,horse,cat,bird,dog",4,goat is not next to bird,goat's cage is exactly 2 spots ahead of cat's,cat is behind horse,There are 0 animals behind dog,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"Thomas,Jennifer,Linda,Jacob,Paul",4,Jacob is at position 4,Linda is between Thomas and Jacob,Thomas is younger than Jennifer,Linda is elder than Jennifer,"young, old","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"orange book,red book,black book,yellow book,white book",4,There are 3 animals ahead of yellow book,yellow book is behind black book,red book's cage is exactly 3 spots ahead of white book's,orange book is not next to yellow book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"yellow book,black book,red book,white book,orange book",4,There are 2 animals behind red book,black book's cage is exactly 2 spots ahead of white book's,red book is not in the first cage,orange book is behind white book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"Jacob,Thomas,Paul,Jennifer,Linda",4,Thomas is younger than Paul,Paul is younger than Linda,Jennifer is between Paul and Linda,Thomas is elder than Jacob,"young, old","['horizontal stripes', 'diagonal stripes', 'horizontal lines', 'dotted circles', 'blank']"
"Paul,Thomas,Linda,Jacob,Jennifer",4,Jacob is younger than Jennifer,Thomas is elder than Paul,Linda is between Jacob and Thomas,Linda is younger than Jacob,"young, old","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines']"
"orange book,yellow book,red book,white book,black book",4,white book is not next to yellow book,There are 0 animals behind black book,orange book's cage is exactly 3 spots ahead of white book's,yellow book is ahead of white book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"Bob,David,Brown,May,Mia",4,Brown is shorter than May,Bob is shorter than David,May is shorter than Mia,There are 2 people shorter than Brown,"short, tall","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"Jennifer,Linda,Thomas,Paul,Jacob",4,Linda is elder than Jennifer,Paul is elder than Thomas,There are 3 people elder than Linda,Jacob is elder than Paul,"young, old","['dotted circles', 'blank', 'horizontal lines', 'diagonal stripes', 'horizontal stripes']"
"A,E,B,D,C",4,There are 3 people behind E,B is between E and C,D is not the first,C is not next to B,"front, end","['dotted circles', 'blank', 'diagonal stripes', 'horizontal stripes', 'horizontal lines']"
"goat,horse,dog,cat,bird",4,goat's cage is ahead of at least 4 animals',goat's cage is exactly 3 spots ahead of cat's,bird is behind dog,horse is not next to cat,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"Jennifer,Thomas,Linda,Jacob,Paul",4,Thomas is between Jacob and Jennifer,Jacob is elder than Linda,Jacob is not the eldest,Thomas is at position 2,"young, old","['dotted circles', 'blank', 'horizontal stripes', 'diagonal stripes', 'horizontal lines']"
"D,A,B,C,E",4,There are 3 people in front of C,A is between D and B,B is between D and C,B is ahead of C,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"Linda,Thomas,Jennifer,Jacob,Paul",4,Thomas is between Jennifer and Linda,There are 3 people younger than Jacob,Jennifer is younger than Paul,Linda is younger than Jennifer,"young, old","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"May,Mia,Brown,Bob,David",4,Bob is between David and Mia,There are 2 people shorter than Brown,May is shorter than Mia,Mia is between Bob and May,"short, tall","['horizontal stripes', 'blank', 'horizontal lines', 'dotted circles', 'diagonal stripes']"
"Paul,Thomas,Jennifer,Linda,Jacob",4,There are 3 people elder than Thomas,Jennifer is between Thomas and Linda,Linda is elder than Thomas,Linda is younger than Jacob,"young, old","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"black book,orange book,red book,white book,yellow book",4,white book is not next to black book,orange book's cage is exactly 3 spots ahead of yellow book's,black book's cage is exactly 2 spots ahead of red book's,red book is behind orange book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"red book,orange book,yellow book,black book,white book",4,yellow book's cage is exactly 2 spots ahead of white book's,orange book is not next to black book,orange book is ahead of black book,red book's cage is exactly 3 spots ahead of black book's,"cheap, expensive","['diagonal stripes', 'dotted circles', 'horizontal stripes', 'blank', 'horizontal lines']"
"B,C,A,E,D",4,A is not next to B,D is behind E,There are 1 people behind E,C is ahead of A,"front, end","['horizontal lines', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal stripes']"
"cat,bird,horse,dog,goat",4,cat's cage is exactly 4 spots ahead of goat's,bird is not next to dog,dog is not next to cat,cat is not next to horse,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"Thomas,Jacob,Paul,Linda,Jennifer",4,Jennifer is at position 5,Paul is between Linda and Jacob,Jacob is not the youngest,Paul is younger than Linda,"young, old","['diagonal stripes', 'dotted circles', 'horizontal lines', 'blank', 'horizontal stripes']"
"C,B,E,D,A",4,There are 1 people behind D,C is ahead of B,B is ahead of E,E is ahead of A,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"Jacob,Jennifer,Thomas,Paul,Linda",4,Paul is between Linda and Jennifer,There are 2 people younger than Thomas,Linda is elder than Jennifer,Jacob is younger than Jennifer,"young, old","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines']"
"red book,black book,orange book,yellow book,white book",4,white book is not next to black book,red book's cage is exactly 3 spots ahead of yellow book's,There are 1 animals ahead of black book,orange book is behind red book,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"white book,red book,black book,orange book,yellow book",4,There are 0 animals behind yellow book,orange book is behind black book,white book's cage is exactly 2 spots ahead of black book's,white book is ahead of black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"horse,dog,cat,goat,bird",4,There are 1 animals behind goat,cat is behind horse,cat is ahead of bird,horse is not next to cat,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"dog,cat,bird,horse,goat",4,goat is not next to bird,cat is ahead of horse,There are 2 animals ahead of bird,dog's cage is exactly 2 spots ahead of bird's,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"dog,goat,horse,cat,bird",4,horse is not in the first cage,There are 3 animals ahead of cat,horse is not next to dog,dog's cage is exactly 4 spots ahead of bird's,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']"
"Paul,Thomas,Jennifer,Linda,Jacob",4,Linda is between Jennifer and Jacob,Jennifer is between Thomas and Linda,Paul is younger than Thomas,Thomas is younger than Jacob,"young, old","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"D,A,C,E,B",4,B is behind E,E is between B and A,A is not the first,C is between A and E,"front, end","['diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes', 'horizontal lines']"
"bird,dog,horse,goat,cat",4,dog is not next to cat,goat is not next to dog,bird's cage is exactly 4 spots ahead of cat's,cat is behind horse,"front, end","['horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank', 'dotted circles']"
"D,E,A,B,C",4,There are 0 people in front of D,C is behind A,C is not next to A,E is ahead of A,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"Jacob,Linda,Thomas,Jennifer,Paul",4,Thomas is younger than Jennifer,Paul is elder than Jennifer,Thomas is not the youngest,There are 3 people elder than Linda,"young, old","['horizontal stripes', 'horizontal lines', 'dotted circles', 'blank', 'diagonal stripes']"
"Bob,David,Mia,May,Brown",4,Mia is shorter than May,David is between Mia and Bob,Mia is taller than Bob,May is shorter than Brown,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"Linda,Paul,Jacob,Thomas,Jennifer",4,There are 2 people younger than Jacob,Thomas is between Jacob and Jennifer,Linda is younger than Paul,Linda is younger than Thomas,"young, old","['horizontal stripes', 'blank', 'horizontal lines', 'diagonal stripes', 'dotted circles']"
"white book,black book,red book,orange book,yellow book",4,white book's cage is exactly 3 spots ahead of orange book's,black book's cage is exactly 3 spots ahead of yellow book's,white book is in the first cage,yellow book is not in the first cage,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"cat,goat,dog,horse,bird",4,goat is ahead of bird,There are 1 animals behind horse,dog's cage is exactly 2 spots ahead of bird's,cat's cage is exactly 4 spots ahead of bird's,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"Mia,Bob,David,Brown,May",4,Bob is between Mia and David,David is shorter than May,Brown is at position 4,David is taller than Mia,"short, tall","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines']"
"Jacob,Thomas,Paul,Linda,Jennifer",4,Thomas is elder than Jacob,Linda is between Jennifer and Thomas,There are 3 people younger than Linda,Paul is between Linda and Thomas,"young, old","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"Bob,Brown,May,David,Mia",4,There are 3 people shorter than David,May is between Brown and David,Bob is shorter than Brown,Bob is shorter than Mia,"short, tall","['horizontal stripes', 'horizontal lines', 'diagonal stripes', 'blank', 'dotted circles']"
"Jennifer,Jacob,Linda,Thomas,Paul",4,Jacob is younger than Linda,Jacob is elder than Jennifer,Paul is elder than Thomas,Thomas is elder than Linda,"young, old","['dotted circles', 'blank', 'diagonal stripes', 'horizontal lines', 'horizontal stripes']"
"D,B,E,A,C",4,D is not the last,E is between A and B,There are 1 people behind A,D is not next to E,"front, end","['horizontal lines', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal stripes']"
"D,E,A,B,C",4,D is ahead of C,E is at position 2,B is not the last,A is between B and E,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"Linda,Jennifer,Thomas,Jacob,Paul",4,Thomas is between Jacob and Jennifer,Linda is younger than Jennifer,Thomas is between Linda and Paul,There are 1 people elder than Jacob,"young, old","['horizontal stripes', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal lines']"
"Bob,May,Mia,David,Brown",4,There are 1 people shorter than May,Mia is between May and David,May is shorter than David,David is shorter than Brown,"short, tall","['horizontal lines', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal stripes']"
"red book,yellow book,orange book,black book,white book",4,yellow book's cage is ahead of at least 2 animals',There are 1 animals behind black book,red book's cage is exactly 2 spots ahead of orange book's,white book is not next to yellow book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"D,E,B,A,C",4,D is ahead of E,A is behind B,E is at position 2,A is ahead of C,"front, end","['horizontal stripes', 'dotted circles', 'diagonal stripes', 'blank', 'horizontal lines']"
"bird,horse,cat,goat,dog",4,bird is ahead of cat,bird's cage is exactly 4 spots ahead of dog's,horse is not next to goat,horse's cage is exactly 3 spots ahead of dog's,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"E,D,A,B,C",4,There are 1 people in front of D,C is behind A,D is behind E,A is not next to C,"front, end","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"A,D,E,B,C",4,E is ahead of C,A is ahead of D,E is between C and D,B is at position 4,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"yellow book,orange book,white book,black book,red book",4,yellow book's cage is exactly 4 spots ahead of red book's,yellow book is not next to white book,white book is behind orange book,There are 2 animals behind white book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'horizontal lines', 'blank']"
"E,A,B,D,C",4,There are 4 people in front of C,A is ahead of B,B is ahead of D,A is behind E,"front, end","['diagonal stripes', 'horizontal lines', 'horizontal stripes', 'blank', 'dotted circles']"
"horse,dog,bird,goat,cat",4,horse's cage is exactly 4 spots ahead of cat's,dog is ahead of goat,dog is ahead of bird,There are 2 animals behind bird,"front, end","['dotted circles', 'blank', 'horizontal lines', 'diagonal stripes', 'horizontal stripes']"
"yellow book,red book,white book,black book,orange book",4,orange book is not next to red book,white book is not next to orange book,yellow book's cage is exactly 4 spots ahead of orange book's,white book is behind red book,"cheap, expensive","['dotted circles', 'horizontal lines', 'diagonal stripes', 'blank', 'horizontal stripes']"
"horse,cat,goat,dog,bird",4,horse's cage is exactly 3 spots ahead of dog's,dog is not next to cat,There are 4 animals ahead of bird,goat is not in the first cage,"front, end","['horizontal lines', 'diagonal stripes', 'horizontal stripes', 'blank', 'dotted circles']"
"Mia,Bob,Brown,May,David",4,David is taller than May,Brown is between May and Bob,Brown is taller than Bob,There are 1 people shorter than Bob,"short, tall","['dotted circles', 'diagonal stripes', 'blank', 'horizontal lines', 'horizontal stripes']"
"E,B,A,C,D",4,C is ahead of D,B is behind E,D is not next to A,B is at position 2,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']"
"C,B,E,A,D",4,D is behind A,B is at position 2,E is between C and D,D is not next to E,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"cat,horse,bird,dog,goat",4,bird is ahead of dog,goat is not in the first cage,There are 3 animals behind horse,cat's cage is exactly 4 spots ahead of goat's,"front, end","['horizontal lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes']"
"cat,horse,bird,dog,goat",4,cat is not next to bird,There are 0 animals behind goat,dog is not in the first cage,cat's cage is exactly 3 spots ahead of dog's,"front, end","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines']"
"red book,yellow book,orange book,white book,black book",4,red book's cage is exactly 4 spots ahead of black book's,red book's cage is exactly 3 spots ahead of white book's,orange book's cage is exactly 2 spots ahead of black book's,red book is not next to orange book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines']"
"Bob,Brown,David,May,Mia",4,Brown is taller than Bob,Bob is shorter than May,David is between Brown and May,There are 3 people shorter than May,"short, tall","['diagonal stripes', 'dotted circles', 'horizontal stripes', 'blank', 'horizontal lines']"
"Brown,David,Bob,Mia,May",4,Bob is shorter than Mia,David is taller than Brown,Mia is between Brown and May,Bob is taller than David,"short, tall","['horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank', 'dotted circles']"
"black book,yellow book,white book,red book,orange book",4,yellow book's cage is exactly 2 spots ahead of red book's,white book is at position 3,red book is behind white book,black book is ahead of yellow book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']"
"goat,horse,dog,bird,cat",4,bird is not next to goat,horse's cage is exactly 2 spots ahead of bird's,dog is at position 3,cat is behind dog,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']"
"Paul,Linda,Thomas,Jennifer,Jacob",4,Paul is at position 1,Linda is younger than Thomas,Jennifer is younger than Jacob,Thomas is younger than Jennifer,"young, old","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank']"
