Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,front_end,style,instruction,message
"bird,horse,goat,cat,dog",4,bird's cage is exactly 4 positions ahead of dog's,goat is ahead of cat,cat is ahead of dog,cat is not next to horse,"front, end","['horizontal stripes', 'horizontal lines', 'diagonal stripes', 'blank', 'dotted circles']",Determine the front-to-back cage order of the animals using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"black book,yellow book,orange book,white book,red book",4,white book is not the cheapest,red book is more expensive than orange book,black book is exactly 2 ranks cheaper than orange book,black book is exactly 3 ranks cheaper than white book,"cheap, expensive","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"red book,yellow book,orange book,white book,black book",4,yellow book is more expensive than red book,white book is more expensive than orange book,white book is cheaper than black book,yellow book is exactly 3 ranks cheaper than black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'horizontal stripes', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"Mia,Bob,Brown,May,David",4,David is taller than May,Brown is somewhere between May and Bob,Brown is taller than Bob,There is 1 person shorter than Bob,"short, tall","['dotted circles', 'diagonal stripes', 'blank', 'horizontal lines', 'horizontal stripes']",Determine the height order of the people from shortest to tallest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"yellow book,red book,white book,orange book,black book",4,orange book is located exactly midway between white book and black book,white book is exactly 2 ranks cheaper than black book,There are 0 books cheaper than yellow book,red book is cheaper than black book,"cheap, expensive","['horizontal stripes', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"Jacob,Linda,Paul,Jennifer,Thomas",4,Jennifer is younger than Thomas,There are 3 people younger than Jennifer,Linda is not the youngest,Linda is younger than Paul,"young, old","['diagonal stripes', 'dotted circles', 'blank', 'horizontal lines', 'horizontal stripes']",Determine the age order of the people from youngest to oldest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"black book,white book,yellow book,red book,orange book",4,orange book is at position 5,white book is more expensive than black book,black book is exactly 3 ranks cheaper than red book,yellow book is exactly 2 ranks cheaper than orange book,"cheap, expensive","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"C,D,E,A,B",4,There is 1 person in front of D,E is somewhere between C and A,E is ahead of A,A is ahead of B,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']",Determine the front-to-back order of the people using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"goat,horse,dog,bird,cat",4,bird is not next to goat,horse's cage is exactly 2 positions ahead of bird's,dog is at position 3,cat is behind dog,"front, end","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']",Determine the front-to-back cage order of the animals using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"Paul,Thomas,Linda,Jacob,Jennifer",4,Jacob is younger than Jennifer,Thomas is older than Paul,Linda is somewhere between Jacob and Thomas,Linda is younger than Jacob,"young, old","['dotted circles', 'horizontal stripes', 'diagonal stripes', 'blank', 'horizontal lines']",Determine the age order of the people from youngest to oldest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"dog,goat,horse,cat,bird",4,horse is not in the first cage,There are 3 animals ahead of cat,horse is not next to dog,dog's cage is exactly 4 positions ahead of bird's,"front, end","['dotted circles', 'horizontal stripes', 'horizontal lines', 'blank', 'diagonal stripes']",Determine the front-to-back cage order of the animals using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"A,C,D,E,B",4,E is somewhere between D and B,C is behind A,There is 1 person in front of C,D is somewhere between B and C,"front, end","['horizontal lines', 'diagonal stripes', 'dotted circles', 'blank', 'horizontal stripes']",Determine the front-to-back order of the people using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"Jennifer,Linda,Thomas,Paul,Jacob",4,Linda is older than Jennifer,Paul is older than Thomas,There are 3 people older than Linda,Jacob is older than Paul,"young, old","['dotted circles', 'blank', 'horizontal lines', 'diagonal stripes', 'horizontal stripes']",Determine the age order of the people from youngest to oldest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"Brown,Bob,David,May,Mia",4,May is somewhere between Mia and Bob,There is 1 person shorter than Bob,May is taller than David,Brown is shorter than Bob,"short, tall","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']",Determine the height order of the people from shortest to tallest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"E,B,A,C,D",4,C is ahead of D,B is behind E,D is not next to A,B is at position 2,"front, end","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'horizontal stripes']",Determine the front-to-back order of the people using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"May,Brown,Mia,Bob,David",4,Brown is taller than May,Bob is somewhere between Mia and David,Brown is at position 2,Mia is somewhere between Bob and May,"short, tall","['dotted circles', 'horizontal lines', 'horizontal stripes', 'blank', 'diagonal stripes']",Determine the height order of the people from shortest to tallest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
"cat,horse,bird,dog,goat",4,bird is ahead of dog,goat is not in the first cage,There are 3 animals behind horse,cat's cage is exactly 4 positions ahead of goat's,"front, end","['horizontal lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes']",Determine the front-to-back cage order of the animals using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}, {'role': 'assistant', 'content': 'Beyond real numbers what types of numbers exist in algebra?'}]"
