Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,Statement 5,front_end,style,instruction
"E,D,A,C,B,F",5,A is ahead of C,B is ahead of F,D is ahead of A,There are 5 people behind E,C is ahead of B,"front, end","['horizontal stripes', 'horizontal lines', 'dotted circles', 'blank', 'diagonal stripes', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"yellow book,blue book,orange book,white book,red book,black book",5,red book is more expensive than white book,yellow book is exactly 3 ranks cheaper than white book,white book is cheaper than red book,There are 4 books more expensive than blue book,black book is more expensive than red book,"cheap, expensive","['dotted circles', 'vertical lines', 'horizontal stripes', 'diagonal stripes', 'horizontal lines', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"bird,horse,dog,cat,rabbit,goat",5,horse's cage is exactly 3 positions ahead of rabbit's,There are 0 animals ahead of bird,dog's cage is exactly 3 positions ahead of goat's,dog is ahead of cat,bird's cage is exactly 2 positions ahead of dog's,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
"white book,yellow book,black book,orange book,red book,blue book",5,white book is at position 1,yellow book is exactly 4 ranks cheaper than blue book,yellow book is cheaper than blue book,orange book is exactly 2 ranks cheaper than blue book,black book is cheaper than at least 3 books,"cheap, expensive","['dotted circles', 'vertical lines', 'horizontal stripes', 'blank', 'diagonal stripes', 'horizontal lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"Tom,Brown,David,Bob,May,Mia",5,Brown is shorter than David,May is taller than Bob,David is somewhere between Bob and Brown,May is somewhere between Brown and Mia,There are 0 people shorter than Tom,"short, tall","['horizontal lines', 'diagonal stripes', 'vertical lines', 'blank', 'dotted circles', 'horizontal stripes']",Determine the height order of the people from shortest to tallest using the given statements.
"F,D,A,E,C,B",5,C is behind F,C is somewhere between B and E,E is ahead of C,D is somewhere between A and F,There are 2 people in front of A,"front, end","['diagonal stripes', 'horizontal lines', 'horizontal stripes', 'dotted circles', 'blank', 'vertical lines']",Determine the front-to-back order of the people using the given statements.
"blue book,yellow book,black book,white book,red book,orange book",5,yellow book is cheaper than black book,There are 3 books cheaper than white book,blue book is exactly 2 ranks cheaper than black book,blue book is cheaper than red book,white book is exactly 2 ranks cheaper than orange book,"cheap, expensive","['horizontal lines', 'dotted circles', 'horizontal stripes', 'blank', 'diagonal stripes', 'vertical lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"blue book,orange book,white book,red book,black book,yellow book",5,red book is cheaper than yellow book,white book is located exactly midway between blue book and black book,white book is cheaper than red book,white book is exactly 2 ranks cheaper than black book,blue book is cheaper than black book,"cheap, expensive","['dotted circles', 'diagonal stripes', 'horizontal lines', 'blank', 'vertical lines', 'horizontal stripes']",Determine the price order of the colored books from cheapest to most expensive using the given statements.
"A,C,F,D,B,E",5,F is ahead of D,D is ahead of B,B is somewhere between C and E,There is 1 person in front of C,F is behind C,"front, end","['dotted circles', 'horizontal lines', 'vertical lines', 'blank', 'horizontal stripes', 'diagonal stripes']",Determine the front-to-back order of the people using the given statements.
"cat,horse,bird,dog,goat,rabbit",5,horse is behind cat,horse's cage is exactly 4 positions ahead of rabbit's,There are 4 animals behind horse,dog is not next to rabbit,bird is ahead of dog,"front, end","['dotted circles', 'diagonal stripes', 'horizontal stripes', 'blank', 'horizontal lines', 'vertical lines']",Determine the front-to-back cage order of the animals using the given statements.
