Correct Order,Num Statements,Statement 1,Statement 2,Statement 3,Statement 4,front_end,style,instruction,message
"bird,horse,goat,cat,dog",4,bird's cage is exactly 4 positions ahead of dog's,goat is ahead of cat,cat is ahead of dog,cat is not next to horse,"front, end","['blank', 'blank', 'blank', 'horizontal lines', 'dotted circles']",Determine the front-to-back cage order of the animals using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"black book,yellow book,orange book,white book,red book",4,white book is not the cheapest,red book is more expensive than orange book,black book is exactly 2 ranks cheaper than orange book,black book is exactly 3 ranks cheaper than white book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"red book,yellow book,orange book,white book,black book",4,yellow book is more expensive than red book,white book is more expensive than orange book,white book is cheaper than black book,yellow book is exactly 3 ranks cheaper than black book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'blank', 'horizontal lines']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"Mia,Bob,Brown,May,David",4,David is taller than May,Brown is somewhere between May and Bob,Brown is taller than Bob,There is 1 person shorter than Bob,"short, tall","['dotted circles', 'blank', 'horizontal lines', 'blank', 'blank']",Determine the height order of the people from shortest to tallest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"yellow book,red book,white book,orange book,black book",4,orange book is located exactly midway between white book and black book,white book is exactly 2 ranks cheaper than black book,There are 0 books cheaper than yellow book,red book is cheaper than black book,"cheap, expensive","['blank', 'blank', 'dotted circles', 'horizontal lines', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"Jacob,Linda,Paul,Jennifer,Thomas",4,Jennifer is younger than Thomas,There are 3 people younger than Jennifer,Linda is not the youngest,Linda is younger than Paul,"young, old","['blank', 'dotted circles', 'horizontal lines', 'blank', 'blank']",Determine the age order of the people from youngest to oldest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"black book,white book,yellow book,red book,orange book",4,orange book is at position 5,white book is more expensive than black book,black book is exactly 3 ranks cheaper than red book,yellow book is exactly 2 ranks cheaper than orange book,"cheap, expensive","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank']",Determine the price order of the colored books from cheapest to most expensive using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"C,D,E,A,B",4,There is 1 person in front of D,E is somewhere between C and A,E is ahead of A,A is ahead of B,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank']",Determine the front-to-back order of the people using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"goat,horse,dog,bird,cat",4,bird is not next to goat,horse's cage is exactly 2 positions ahead of bird's,dog is at position 3,cat is behind dog,"front, end","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank']",Determine the front-to-back cage order of the animals using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
"Paul,Thomas,Linda,Jacob,Jennifer",4,Jacob is younger than Jennifer,Thomas is older than Paul,Linda is somewhere between Jacob and Thomas,Linda is younger than Jacob,"young, old","['dotted circles', 'blank', 'blank', 'horizontal lines', 'blank']",Determine the age order of the people from youngest to oldest using the given statements.,"[{'role': 'developer', 'content': ""You're an helpful tutor. Your task is to use the socratic method to help the user solve logic deduction puzzles.""}, {'role': 'user', 'content': 'What is sqrt(-1)?'}]"
